"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 08 08:19:52 GMT 2022","Mon Aug 08 08:19:53 GMT 2022","514","","tests.api.CreatingUserTest","","tests.api.CreatingUserTest","failCreateUserWithoutBody","failCreateUserWithoutBody",""
"passed","Mon Aug 08 08:19:43 GMT 2022","Mon Aug 08 08:19:43 GMT 2022","524","","tests.api.DeletingUserTest","","tests.api.DeletingUserTest","checkingDeleteUser","checkingDeleteUser",""
"passed","Mon Aug 08 08:19:42 GMT 2022","Mon Aug 08 08:19:43 GMT 2022","538","","tests.api.UpdatingUserTest","","tests.api.UpdatingUserTest","checkingUpdatingUser","checkingUpdatingUser",""
"passed","Mon Aug 08 08:19:45 GMT 2022","Mon Aug 08 08:19:45 GMT 2022","291","","tests.api.GettingUsersTest","","tests.api.GettingUsersTest","checkingGetUsers","checkingGetUsers",""
"failed","Mon Aug 08 08:19:45 GMT 2022","Mon Aug 08 08:19:51 GMT 2022","5497","","tests.api.DelayedResponseTest","","tests.api.DelayedResponseTest","checkingGetUserWithDelay","checkingGetUserWithDelay",""
"passed","Mon Aug 08 08:19:55 GMT 2022","Mon Aug 08 08:19:55 GMT 2022","474","","tests.api.GettingResourcesTest","","tests.api.GettingResourcesTest","checkingGetResources","checkingGetResources",""
"passed","Mon Aug 08 08:19:37 GMT 2022","Mon Aug 08 08:19:41 GMT 2022","3957","","tests.api.GettingUserTest","","tests.api.GettingUserTest","checkingGetUser","checkingGetUser",""
"passed","Mon Aug 08 08:19:43 GMT 2022","Mon Aug 08 08:19:44 GMT 2022","1067","","tests.api.RegistrationTest","","tests.api.RegistrationTest","checkingRegistrationSuccess","checkingRegistrationSuccess",""
"passed","Mon Aug 08 08:19:41 GMT 2022","Mon Aug 08 08:19:41 GMT 2022","503","","tests.api.GettingUserTest","","tests.api.GettingUserTest","checkingGetUserFail","checkingGetUserFail",""
"passed","Mon Aug 08 08:19:52 GMT 2022","Mon Aug 08 08:19:52 GMT 2022","461","","tests.api.LoginTest","","tests.api.LoginTest","checkingLoginFail","checkingLoginFail",""
"passed","Mon Aug 08 08:19:41 GMT 2022","Mon Aug 08 08:19:42 GMT 2022","978","","tests.api.PatchingUserTest","","tests.api.PatchingUserTest","checkingPatchingUser","checkingPatchingUser",""
"passed","Mon Aug 08 08:19:44 GMT 2022","Mon Aug 08 08:19:45 GMT 2022","464","","tests.api.RegistrationTest","","tests.api.RegistrationTest","checkingRegistrationFail","checkingRegistrationFail",""
"passed","Mon Aug 08 08:19:54 GMT 2022","Mon Aug 08 08:19:54 GMT 2022","975","","tests.api.CreatingUserTest","","tests.api.CreatingUserTest","failCreateUser","failCreateUser",""
"passed","Mon Aug 08 08:19:52 GMT 2022","Mon Aug 08 08:19:52 GMT 2022","466","","tests.api.LoginTest","","tests.api.LoginTest","checkingLoginSuccess","checkingLoginSuccess",""
"passed","Mon Aug 08 08:19:51 GMT 2022","Mon Aug 08 08:19:51 GMT 2022","468","","tests.api.GettingResourceTest","","tests.api.GettingResourceTest","checkingGetResourceFail","checkingGetResourceFail",""
"passed","Mon Aug 08 08:19:53 GMT 2022","Mon Aug 08 08:19:53 GMT 2022","490","","tests.api.CreatingUserTest","","tests.api.CreatingUserTest","checkingCreateUser","checkingCreateUser",""
"passed","Mon Aug 08 08:19:51 GMT 2022","Mon Aug 08 08:19:52 GMT 2022","429","","tests.api.GettingResourceTest","","tests.api.GettingResourceTest","checkingGetResource","checkingGetResource",""
